time_step,Amplitude,Angular_Vel,force,mass,K,B,delta_mass,delta_K,delta_B,ideal_disp,ideal_vel,ideal_acc,actual_disp,actual_vel,actual_acc,G(x)
0.0,2,0.5,0.0,10,2,10,1,0.1,1,1.0,0.0,-0.2,1.0,0.0,-0.19090909090909092,-0.09090909090909091
0.1,2,0.5,0.09995833854135666,10,2,10,1,0.1,1,0.9990489121007063,-0.018542599010966967,-0.17127134955503864,0.9990913971354735,-0.01772200491362108,-0.1639265037630278,-0.08173936896310154
0.2,2,0.5,0.1996668332936563,10,2,10,1,0.1,1,0.9963831105075562,-0.034335309261626035,-0.1449746295105196,0.9965416454576531,-0.03286166761607482,-0.139235661671872,-0.07244316474218152
0.30000000000000004,2,0.5,0.2988762649471985,10,2,10,1,0.1,1,0.9922656631024973,-0.04761332672119159,-0.12095217940458802,0.9925977495309042,-0.04564046627586283,-0.11668489818483721,-0.06306558950760961
0.4,2,0.5,0.39733866159012243,10,2,10,1,0.1,1,0.9869369504553029,-0.058596660395397154,-0.0990568635366512,0.9874853668035293,-0.056265285201043846,-0.09613295195325518,-0.05364970047394607
0.5,2,0.5,0.4948079185090459,10,2,10,1,0.1,1,0.9806159664302779,-0.06749102869010296,-0.07915137274504805,0.9814100608020766,-0.06492930395759898,-0.07744826051288421,-0.04423655839027553
0.6000000000000001,2,0.5,0.5910404133226792,10,2,10,1,0.1,1,0.9735019093388773,-0.07448894987745606,-0.061107390658051465,0.9745587978861324,-0.07181305292736194,-0.06050813454883798,-0.034865307687586666
0.7000000000000001,2,0.5,0.6857956149109028,10,2,10,1,0.1,1,0.9657753590341933,-0.07977053911692411,-0.044804971198824275,0.9671011367764827,-0.07708524425301545,-0.04519809868514009,-0.02557322926050727
0.8,2,0.5,0.778836684617301,10,2,10,1,0.1,1,0.9575993884953028,-0.08350425170615858,-0.030131957531171885,0.9591902089935862,-0.08090344462567899,-0.031411351216978266,-0.01639577494329862
0.9,2,0.5,0.8699310682224605,10,2,10,1,0.1,1,0.9491208327302221,-0.08584773179102755,-0.016983327932770822,0.9509639870589015,-0.08341495143457475,-0.019048076256446406,-0.007366628985131005
1.0,2,0.5,0.958851077208406,10,2,10,1,0.1,1,0.9404712553552819,-0.08694844241097373,-0.005260700939242047,0.9425461758788873,-0.08475739052339715,-0.00801496330726263,0.0014822637572289576
1.1,2,0.5,1.0453744578613184,10,2,10,1,0.1,1,0.931767959750135,-0.08694432223822202,0.005128176074326852,0.9340471795098392,-0.0850593642136253,0.0017753079309576632,0.010120661668316294
1.2000000000000002,2,0.5,1.129284946790071,10,2,10,1,0.1,1,0.9231149060807723,-0.0859643711481769,0.014269884611029538,0.9255649688677707,-0.08444102307182444,0.010404524177983746,0.018519997992936396
1.3,2,0.5,1.210372811472079,10,2,10,1,0.1,1,0.9146035658767776,-0.08412918660477053,0.022245754576622923,0.9171858902841317,-0.08301459002903992,0.01794935747225831,0.02665335647163157
1.4000000000000001,2,0.5,1.2884353744753823,10,2,10,1,0.1,1,0.9063137870107857,-0.08155150819567805,0.029132288241059113,0.9089854696331379,-0.08088488093356272,0.024481779864998394,0.03449544589474946
