time_step_H,time_step_A,theta_H,theta_A,H_spring,A_spring,H_damp,A_damp,H_mass,A_mass,disp_sw,disp_s,vel_sw,vel_s,acc_sw,acc_s,error_1,error_2
0.0,0.0,10.0,0.0,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.0,0.0,0.0,0.0,14.736870768056315,0.057770649434747745,0.8333333333333333,0.02307692307692308
0.01,0.01,9.999995000000418,0.0009999998333333417,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.000734985937307771,2.882219830397494e-06,0.14679827762133313,0.0005759949554344601,14.621766792719121,0.059493391581002815,0.8308083632143479,0.02289131495932333
0.02,0.02,9.999980000006666,0.0019999986666669333,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.002932150045218433,1.1617615480045387e-05,0.29243803905978794,0.0011712825035074133,14.505143305043479,0.061629849597002,0.8281800202013463,0.02269888397986439
0.03,0.03,9.99995500003375,0.002999995500002025,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.006579874481006614,2.641939198118717e-05,0.43690413537115497,0.0017899281199648092,14.3870310723095,0.0641722168634973,0.8254495249482093,0.022498218416564332
0.04,0.04,9.999920000106666,0.003999989333341867,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.011666294128349538,4.754102108993511e-05,0.5801819051858018,0.002435972906241982,14.267460898420596,0.06711249828811586,0.8226181105895406,0.0222879141484168
0.05,0.05,9.999875000260417,0.004999979166692709,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.01817949054192879,7.527670907557475e-05,0.7222568484781937,0.0031134636947004087,14.146463557232773,0.07044254234160706,0.8196870120157925,0.022066564224631918
0.06,0.06,9.99982000054,0.0059999640000648,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.026107388546210704,0.00010996053229657503,0.8631148866590456,0.003826112604676256,14.024069761601398,0.07415430712324415,0.816657470155164,0.021832876728572956
0.07,0.07,9.999755001000416,0.006999942833473392,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.035437703873802524,0.00015196246535982433,1.002742232552708,0.004577734931969602,13.900310348804647,0.07823947796142536,0.8135307385041148,0.021585523283117483
0.08,0.08,9.999680001706663,0.007999914666939733,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.04615809705937682,0.00020169103308332302,1.141125346292261,0.005372047733374813,13.775216062531662,0.08268968051118117,0.8103080710379538,0.021323208716317685
0.09,0.09,9.999595002733741,0.008999878500492074,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.05825602524473303,0.0002595908219244499,1.2782510764265531,0.006212613230105752,13.648817686824685,0.08749649245130675,0.8069907322086333,0.021044690704208106
0.1,0.1,9.999500004166652,0.009999833334166666,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.07171886866382658,0.0003261425840838512,1.4141064934794563,0.0071030168266753724,13.52114596687326,0.09265132779366698,0.8035799891783417,0.020748718146723678
0.11,0.11,9.999395006100393,0.010999778168008756,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.08653387851781043,0.0004018620746253247,1.5486790112625755,0.00804668039473443,13.392231600841814,0.09814558650117425,0.8000771141413721,0.0204340958243692
0.12,0.12,9.999280008639959,0.011999712002073594,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.10268816058263587,0.0004872985477567469,1.681956356619703,0.009046967742116201,13.262105289822893,0.10397056303456956,0.7964833861944138,0.020099647920934986
0.13,0.13,9.99915501190035,0.01299963383642743,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.12016867171030643,0.0005830344712808835,1.81392659863505,0.010107114126764983,13.130797721021255,0.1101175073030635,0.7928000911413122,0.019744242428452248
0.14,0.14,9.999020016006563,0.013999542671148514,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.13896229094251178,0.0006896841337108618,1.9445780800990604,0.011230279346248727,12.998339503681787,0.11657760515855466,0.7890285167091673,0.019366772798983262
0.15,0.15,9.998875021093593,0.01499943750632809,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.15905578473817367,0.0008078937306734616,2.073899422955491,0.012419581253311437,12.864761221945564,0.1233419383667026,0.7851699553552545,0.018966146341289503
0.16,0.16,9.998720027306433,0.015999317342071415,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.1804357941248154,0.0009383383993978118,2.2018796381243453,0.013677902484805918,12.730093370803754,0.13040165796706085,0.7812257035073611,0.018541351183946297
0.17,0.17,9.998555034800082,0.01699918117849873,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.2030888518761479,0.0010817252854778373,2.328507870220585,0.015008374690975866,12.594366525147919,0.13774755977654424,0.7771970643870098,0.018091288593820143
0.18,0.18,9.998380043739527,0.017999028015746276,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.22700141541320917,0.0012387889364459093,2.4537737208987593,0.016413700504210014,12.457611035867538,0.1453706973407872,0.7730853398786179,0.01761500777486421
0.19,0.19,9.998195054299764,0.01899885685396732,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.25215975871655494,0.001410291223026893,2.577667101274773,0.017896591292676012,12.319857320861036,0.15326196959777713,0.768891841996455,0.017111554339649827
0.2,0.2,9.998000066665778,0.019998666693333084,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.2785501657747332,0.0015970212954340827,2.7001781356101286,0.01945966125428159,12.181135621924227,0.1614122723192815,0.764617878369196,0.016580006970056845
0.21,0.21,9.997795081032558,0.02099845653403382,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.30615871910056724,0.0017997941751008717,2.8212972964647,0.021105558281116692,12.04147624727673,0.16981232430642018,0.7602647676110204,0.01601943214729235
0.22,0.22,9.997580097605091,0.021998225376279774,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.33497144142777635,0.002019450224827437,2.9410153974737008,0.02283664207247804,11.900909344607062,0.17845299167973533,0.7558338276339432,0.01542899558530989
0.23,0.23,9.99735511659836,0.022997972220302185,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.36497430465133546,0.0022568525839249797,3.0593234960275995,0.024655303085617728,11.759464960973398,0.18732502274438703,0.7513263765247871,0.014807851878051207
0.24,0.24,9.997120138237346,0.02399769606635429,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.3961531745504479,0.0025128885534519913,3.176212968153548,0.026563803660258328,11.61717307600567,0.19641916406396498,0.7467437359035763,0.014155199466036128
0.25,0.25,9.996875162757027,0.024997395914712332,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.4284938264544091,0.0027884687355779953,3.2916754414761993,0.028564323856942745,11.474063627724092,0.20572612841266508,0.7420872307353696,0.013470264787116201
0.26,0.26,9.996620190402377,0.025997070765676544,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.4619819106002883,0.0030845222736668653,3.4057029697633046,0.030658929151462542,11.33016643406889,0.21523662789309406,0.7373581893080243,0.012752313558032432
0.27,0.27,9.996355221428368,0.026996719619572153,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.49660305754728196,0.0034020008505276506,3.5182877828137,0.032849618012825835,11.185511213382984,0.22494135188546185,0.7325579386162027,0.012000634222078106
0.28,0.28,9.996080256099974,0.027996341476750394,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.5323428014741669,0.003741874933064831,3.629422440033011,0.03513830081973139,11.040127591261909,0.23483097416840068,0.7276878081936546,0.01121454532523812
0.29,0.29,9.995795294692156,0.028995935337589485,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.5691866200439977,0.004105133063287546,3.7390998209065858,0.03752676344077981,11.040127591261909,0.23483097416840068,0.7276878081936546,0.01121454532523812
0.3,0.3,9.995500337489876,0.02999550020249566,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.607119897923182,0.0044927808355822675,3.8473131383783055,0.040016616422418654,10.74729293987648,0.25512779779422506,0.7177432259875444,0.009536644264204183
0.31,0.31,9.99519538478809,0.030995035071904133,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.6461279594125298,0.0049058424151636314,3.954055724311979,0.04260967668063788,10.599900667353825,0.26551628241067954,0.712671439458232,0.008643603487816988
0.32,0.32,9.994880436891755,0.03199453894628012,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.6861960652415193,0.005345356726994424,4.059321373098484,0.045307381551559826,10.451897358770823,0.27605242552188375,0.7075350991034401,0.0077137666783673375
0.33,0.33,9.994555494115813,0.03299401082611982,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.727309420752099,0.005812376228031673,4.163104172314261,0.04811107802142342,10.303312015281513,0.28672701608850515,0.7023355363946364,0.006746645699554005
0.34,0.34,9.994220556785212,0.03399344971195145,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.7694531647501368,0.006307969514485616,4.265398363627012,0.05102223693869461,10.154173631146502,0.297530661752384,0.6970740857806068,0.005741709204513138
0.35000000000000003,0.35000000000000003,9.993875625234885,0.034992854604336196,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.8126123990821136,0.006833215246335761,4.366198617633324,0.05404201840388149,10.00451093241777,0.3084541946969899,0.6917520776421033,0.004698533203988444
0.36,0.36,9.993520699809768,0.03599222450386925,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.856772131557841,0.007389208132526416,4.465499800949234,0.05717161417490913,9.854352651040156,0.31948833752559125,0.6863708469301089,0.0036166824170858684
0.37,0.37,9.993155780864782,0.036991558411180805,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.9019173734147913,0.007977049940425349,4.563297149896359,0.06041198686855694,9.70372722963669,0.3306239890574033,0.6809317221490403,0.002495800734425764
0.38,0.38,9.992780868764848,0.03799085532693704,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.9480330379788654,0.008597853118063459,4.6595861177312825,0.06376418780946123,9.552663106067516,0.34185190570101953,0.6754360363478616,0.0013355011182570387
0.39,0.39,9.99239596388488,0.0389901142518411,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,0.9951040558566027,0.00925274329021127,4.754362301998656,0.06722924819052042,9.401188580870713,0.3531628229380393,0.6698851187315148,0.00013540322585991446
0.4,0.4,9.99200106660978,0.03998933418663417,8.842122460833789,4.344843424404051,4.623522775777911,1.2516974044195344,1,4,1.0431152574601577,0.009942851077717528,4.847621913858998,0.07080773896357732,9.249331646941481,0.36454782768222344,0.6642802966283745,-0.0011047140750149343
