time_step,Amplitude,Angular_Vel,force,mass,K,B,delta_mass,delta_K,delta_B,ideal_disp,ideal_vel,ideal_acc,actual_disp,actual_vel,actual_acc,G(x)
0.0,0,0.5,0,10,2,0,0,0,0,1.0,0.0,-0.2,1.0,0.0,-0.2,0.0
0.1,0,0.5,0,10,2,0,0,0,0,0.9990001713935551,-0.019993342591459535,-0.19980003427871104,0.9990001713935551,-0.019993342591459535,-0.19980003427871104,0.0
0.2,0,0.5,0,10,2,0,0,0,0,0.996002676069269,-0.039946696964897936,-0.1992005352138538,0.996002676069269,-0.039946696964897936,-0.1992005352138538,0.0
0.30000000000000004,0,0.5,0,10,2,0,0,0,0,0.9910134948776639,-0.05982017147240313,-0.19820269897553278,0.9910134948776639,-0.05982017147240313,-0.19820269897553278,0.0
0.4,0,0.5,0,10,2,0,0,0,0,0.9840426213944233,-0.07957402547459717,-0.19680852427888468,0.9840426213944233,-0.07957402547459717,-0.19680852427888468,0.0
0.5,0,0.5,0,10,2,0,0,0,0,0.9751039921725436,-0.09916875805124842,-0.19502079843450873,0.9751039921725436,-0.09916875805124842,-0.19502079843450873,0.0
0.6000000000000001,0,0.5,0,10,2,0,0,0,0,0.9642154782098095,-0.11856518893112028,-0.1928430956419619,0.9642154782098095,-0.11856518893112028,-0.1928430956419619,0.0
0.7000000000000001,0,0.5,0,10,2,0,0,0,0,0.9513988503104268,-0.13772453441271376,-0.19027977006208538,0.9513988503104268,-0.13772453441271376,-0.19027977006208538,0.0
0.8,0,0.5,0,10,2,0,0,0,0,0.9366797465786121,-0.1566084635389095,-0.18733594931572242,0.9366797465786121,-0.1566084635389095,-0.18733594931572242,0.0
0.9,0,0.5,0,10,2,0,0,0,0,0.920087595999077,-0.17517922472698183,-0.1840175191998154,0.920087595999077,-0.17517922472698183,-0.1840175191998154,0.0
1.0,0,0.5,0,10,2,0,0,0,0,0.9016555762366619,-0.19339969202619536,-0.1803311152473324,0.9016555762366619,-0.19339969202619536,-0.1803311152473324,0.0
1.1,0,0.5,0,10,2,0,0,0,0,0.881420545980657,-0.2112334243832968,-0.1762841091961314,0.881420545980657,-0.2112334243832968,-0.1762841091961314,0.0
1.2000000000000002,0,0.5,0,10,2,0,0,0,0,0.8594229670232846,-0.22864476059705127,-0.17188459340465692,0.8594229670232846,-0.22864476059705127,-0.17188459340465692,0.0
