time_step,Amplitude,Angular_Vel,force,mass,K,B,delta_mass,delta_K,delta_B,ideal_disp,ideal_vel,ideal_acc,actual_disp,actual_vel,actual_acc,G(x)
0.0,1,0.1,0.0,2,27.922743169470646,27.127449487463984,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.01,1,0.1,0.0009999998333333417,2,27.922743169470646,27.127449487463984,0,1,1,9.448746949644072e-16,1.1278226893129224e-11,0.000499999763678714,3.401188465683189e-12,4.0539337527510694e-08,0.0004994297333965405,-2.0271369357988187e-08
0.02,1,0.1,0.0019999986666669333,2,27.922743169470646,27.127449487463984,0,1,1,2.4663089040084844e-08,4.624834936815466e-06,0.0009369250147147905,2.4267158461721192e-08,4.705097063612346e-06,0.0009334772069424604,-2.3646821110370336e-06
0.03,1,0.1,0.002999995500002025,2,27.922743169470646,27.127449487463984,0,1,1,1.1569870257148409e-07,1.3397831421471953e-05,0.0013166579398587713,1.1587120805094333e-07,1.3410421056869404e-05,0.0013097216229640569,-6.763146132460174e-06
0.04,1,0.1,0.003999989333341867,2,27.922743169470646,27.127449487463984,0,1,1,3.132989200999048e-07,2.575995585049866e-05,0.00164621963346347,3.129992086779089e-07,2.5576095568431702e-05,0.001635773100714707,-1.2944547388554806e-05
0.05,1,0.1,0.004999979166692709,2,27.922743169470646,27.127449487463984,0,1,1,6.50046630813971e-07,4.1127904205559806e-05,0.0019330664688553647,6.467833834875763e-07,4.0815044942181475e-05,0.0019166246510330174,-2.0730914162834525e-05
0.06,1,0.1,0.0059999640000648,2,27.922743169470646,27.127449487463984,0,1,1,1.1536319092010052e-06,5.917157814937518e-05,0.002181288717605686,1.1457924849456053e-06,5.8673305131405635e-05,0.002158247055975518,-2.990954880817562e-05
0.07,1,0.1,0.006999942833473392,2,27.922743169470646,27.127449487463984,0,1,1,1.849610708959496e-06,7.952531253973088e-05,0.0023954888648936392,1.8353047497280058e-06,7.877117376218913e-05,0.002365614287247538,-4.030323925595857e-05
0.08,1,0.1,0.007999914666939733,2,27.922743169470646,27.127449487463984,0,1,1,2.7592159944959585e-06,0.0001018738152235255,0.0025796465054024496,2.7356202204062287e-06,0.00010078466719599487,0.0025429886951147495,-5.1760143708200544e-05
0.09,1,0.1,0.008999878500492074,2,27.922743169470646,27.127449487463984,0,1,1,3.901094887577969e-06,0.00012592184735138231,0.0027375053382368624,3.865282706858839e-06,0.000124429965472373,0.00269409317646657,-6.414762408961593e-05
0.1,1,0.1,0.009999833334166666,2,27.922743169470646,27.127449487463984,0,1,1,5.290880499812234e-06,0.00015137425871001513,0.002872849939985904,5.2383223816514235e-06,0.00014949245092857073,0.0028217426595163555,-7.736538665511107e-05
0.11,1,0.1,0.010999778168008756,2,27.922743169470646,27.127449487463984,0,1,1,6.941680709909918e-06,0.00017812720529336646,0.0029869053182212733,6.867443485817973e-06,0.00017573597503780706,0.0029290740514157196,-9.130170926181252e-05
0.12,1,0.1,0.011999712002073594,2,27.922743169470646,27.127449487463984,0,1,1,8.864591728536697e-06,0.0002058797337931684,0.003083598102484371,8.764774096253585e-06,0.00020292664962338793,0.003019200802503538,-0.00010584571185982077
0.13,1,0.1,0.01299963383642743,2,27.922743169470646,27.127449487463984,0,1,1,1.1070721077485713e-05,0.00023454331689209693,0.003163973476733667,1.0937755399221438e-05,0.00023097259742554043,0.003093306939545008,-0.00012095517641238093
0.14,1,0.1,0.013999542671148514,2,27.922743169470646,27.127449487463984,0,1,1,1.3566937631389577e-05,0.0002639707103338011,0.00322993222266041,1.3394374411893781e-05,0.0002596745456408047,0.0031540789772128426,-0.00013653446002634924
0.15,1,0.1,0.01499943750632809,2,27.922743169470646,27.127449487463984,0,1,1,1.635997341359406e-05,0.0002939700320970994,0.0032839824869493523,1.6140774425691104e-05,0.0002889554558267241,0.0032025110225820763,-0.0001525481151262076
0.16,1,0.1,0.015999317342071415,2,27.922743169470646,27.127449487463984,0,1,1,1.9455644462069166e-05,0.00032445741650862544,0.003327180100694862,1.9182875433176905e-05,0.00031862179007697,0.0032412388283351826,-0.00016890233275507346
0.17,1,0.1,0.01699918117849873,2,27.922743169470646,27.127449487463984,0,1,1,2.2858707271075206e-05,0.00035529120402978854,0.0033613795877620173,2.252313230378297e-05,0.0003486303036018995,0.003270834576571372,-0.00018557671795284123
0.18,1,0.1,0.017999028015746276,2,27.922743169470646,27.127449487463984,0,1,1,2.6571544039563518e-05,0.00038647318575119695,0.003386522895594193,2.616477816593054e-05,0.0003788961635279848,0.0032924440780698035,-0.00020253047084695767
