Time,Theta_SW,Theta_H,Theta_A,Theta_S,K_H,K_A,B_H,B_A
0.126,0.129713595,0.125666869,0.992072496,0.132143378,0.5,0.5,0.1,0.1
0.128,0.133275191,0.127650761,0.991819179,0.135345334,0.5,0.5,0.1,0.1
0.13,0.13685373,0.129634143,0.991561894,0.138568562,0.5,0.5,0.1,0.1
0.132,0.140435891,0.131617006,0.991300642,0.141824762,0.5,0.5,0.1,0.1
0.134,0.144009649,0.133599343,0.991035426,0.14512436,0.5,0.5,0.1,0.1
0.136,0.147565058,0.135581145,0.990766245,0.148475725,0.5,0.5,0.1,0.1
0.138,0.151094869,0.137562405,0.990493102,0.151884551,0.5,0.5,0.1,0.1
0.14,0.154594945,0.139543115,0.990215996,0.155353441,0.5,0.5,0.1,0.1
0.142,0.158064448,0.141523266,0.98993493,0.15888172,0.5,0.5,0.1,0.1
0.144,0.16150578,0.143502852,0.989649904,0.162465494,0.5,0.5,0.1,0.1
0.146,0.164924303,0.145481863,0.989360919,0.166097931,0.5,0.5,0.1,0.1
0.148,0.16832784,0.147460293,0.989067976,0.169769758,0.5,0.5,0.1,0.1
0.15,0.171726023,0.149438132,0.988771078,0.173469915,0.5,0.5,0.1,0.1
0.152,0.17512951,0.151415374,0.988470224,0.177186336,0.5,0.5,0.1,0.1
0.154,0.178549155,0.153392011,0.988165417,0.18090678,0.5,0.5,0.1,0.1
0.156,0.181995173,0.155368033,0.987856657,0.184619665,0.5,0.5,0.1,0.1
0.158,0.185476372,0.157343435,0.987543945,0.188314837,0.5,0.5,0.1,0.1
0.16,0.188999493,0.159318207,0.987227283,0.191984229,0.5,0.5,0.1,0.1
0.162,0.192568723,0.161292341,0.986906673,0.195622348,0.5,0.5,0.1,0.1
0.164,0.196185389,0.163265831,0.986582114,0.19922658,0.5,0.5,0.1,0.1
0.166,0.199847874,0.165238667,0.98625361,0.202797278,0.5,0.5,0.1,0.1
0.168,0.203551739,0.167210842,0.98592116,0.206337633,0.5,0.5,0.1,0.1
0.17,0.207290051,0.169182349,0.985584767,0.209853353,0.5,0.5,0.1,0.1
0.172,0.211053882,0.171153179,0.985244431,0.213352158,0.5,0.5,0.1,0.1
0.174,0.214832943,0.173123324,0.984900155,0.216843148,0.5,0.5,0.1,0.1
0.176,0.218616307,0.175092777,0.984551938,0.220336083,0.5,0.5,0.1,0.1
0.178,0.222393165,0.177061529,0.984199784,0.223840622,0.5,0.5,0.1,0.1
0.18,0.226153553,0.179029573,0.983843693,0.227365597,0.5,0.5,0.1,0.1
0.182,0.229889019,0.180996901,0.983483666,0.230918351,0.5,0.5,0.1,0.1
0.184,0.233593156,0.182963505,0.983119706,0.234504196,0.5,0.5,0.1,0.1
0.186,0.237261988,0.184929378,0.982751813,0.238126032,0.5,0.5,0.1,0.1
0.188,0.240894173,0.18689451,0.982379989,0.241784147,0.5,0.5,0.1,0.1
0.19,0.244491011,0.188858895,0.982004235,0.245476203,0.5,0.5,0.1,0.1
0.192,0.248056265,0.190822524,0.981624554,0.249197414,0.5,0.5,0.1,0.1
0.194,0.251595811,0.192785391,0.981240946,0.252940906,0.5,0.5,0.1,0.1
0.196,0.255117138,0.194747486,0.980853413,0.256698203,0.5,0.5,0.1,0.1
0.198,0.258628746,0.196708802,0.980461956,0.260459839,0.5,0.5,0.1,0.1
0.2,0.262139486,0.198669331,0.980066578,0.264216016,0.5,0.5,0.1,0.1
0.202,0.265657877,0.200629065,0.979667279,0.26795728,0.5,0.5,0.1,0.1
0.204,0.269191474,0.202587997,0.979264062,0.271675163,0.5,0.5,0.1,0.1
0.206,0.272746306,0.204546119,0.978856928,0.275362739,0.5,0.5,0.1,0.1
0.208,0.276326442,0.206503422,0.978445878,0.279015058,0.5,0.5,0.1,0.1
0.21,0.279933699,0.2084599,0.978030915,0.282629439,0.5,0.5,0.1,0.1
0.212,0.283567529,0.210415543,0.977612039,0.286205584,0.5,0.5,0.1,0.1
0.214,0.287225066,0.212370345,0.977189253,0.289745529,0.5,0.5,0.1,0.1
0.216,0.290901345,0.214324298,0.976762558,0.293253422,0.5,0.5,0.1,0.1
0.218,0.294589672,0.216277393,0.976331956,0.296735161,0.5,0.5,0.1,0.1
0.22,0.298282106,0.218229623,0.975897449,0.300197905,0.5,0.5,0.1,0.1
0.222,0.301970022,0.22018098,0.975459039,0.303649512,0.5,0.5,0.1,0.1
0.224,0.305644719,0.222131457,0.975016726,0.307097933,0.5,0.5,0.1,0.1
0.226,0.309298019,0.224081045,0.974570513,0.310550612,0.5,0.5,0.1,0.1
0.228,0.312922814,0.226029736,0.974120402,0.314013936,0.5,0.5,0.1,0.1
0.23,0.316513537,0.227977524,0.973666395,0.317492769,0.5,0.5,0.1,0.1
0.232,0.320066504,0.229924399,0.973208493,0.320990106,0.5,0.5,0.1,0.1
0.234,0.323580121,0.231870355,0.972746698,0.324506867,0.5,0.5,0.1,0.1
0.236,0.327054934,0.233815383,0.972281012,0.328041847,0.5,0.5,0.1,0.1
0.238,0.33049353,0.235759476,0.971811437,0.331591814,0.5,0.5,0.1,0.1
0.24,0.333900286,0.237702626,0.971337975,0.335151762,0.5,0.5,0.1,0.1
0.242,0.337281003,0.239644826,0.970860627,0.338715275,0.5,0.5,0.1,0.1
0.244,0.340642438,0.241586066,0.970379396,0.342274993,0.5,0.5,0.1,0.1
0.246,0.343991783,0.243526341,0.969894284,0.345823138,0.5,0.5,0.1,0.1
0.248,0.347336117,0.245465641,0.969405291,0.349352058,0.5,0.5,0.1,0.1
0.25,0.350681879,0.247403959,0.968912422,0.352854754,0.5,0.5,0.1,0.1
0.252,0.354034399,0.249341288,0.968415676,0.356325351,0.5,0.5,0.1,0.1
0.254,0.357397515,0.251277619,0.967915057,0.359759478,0.5,0.5,0.1,0.1
0.256,0.360773307,0.253212946,0.967410566,0.363154537,0.5,0.5,0.1,0.1
0.258,0.36416196,0.255147259,0.966902206,0.366509836,0.5,0.5,0.1,0.1
0.26,0.367561768,0.257080552,0.966389978,0.369826589,0.5,0.5,0.1,0.1
0.262,0.370969277,0.259012816,0.965873885,0.373107771,0.5,0.5,0.1,0.1
0.264,0.374379541,0.260944045,0.965353928,0.37635786,0.5,0.5,0.1,0.1
0.266,0.377786495,0.26287423,0.964830109,0.379582468,0.5,0.5,0.1,0.1
